query_id,timestamp,query_text,intent,num_candidates,num_used,similarity_scores,max_score,min_score,mean_score,score_range
q_1772135703_0001,2026-02-27 01:25:03,What are the best restaurants for a date night?,recommendation,20,8,"[0.7188459038734436, 0.6910567283630371, 0.6885520815849304, 0.6683461666107178, 0.6581637859344482, 0.650771975517273, 0.6430305242538452, 0.6410054564476013, 0.6390082836151123, 0.6360817551612854, 0.6332509517669678, 0.629499077796936, 0.6269209384918213, 0.6242906451225281, 0.6222091913223267, 0.6219119429588318, 0.6212759613990784, 0.6208951473236084, 0.6196076273918152, 0.6180094480514526]",0.718846,0.618009,0.643637,0.100836
q_1772135712_0002,2026-02-27 01:25:12,Can you recommend a place with great pizza?,recommendation,20,8,"[0.7408222556114197, 0.7154206037521362, 0.714107096195221, 0.7110428810119629, 0.7042807936668396, 0.7036741375923157, 0.7030352354049683, 0.6995918154716492, 0.6993510127067566, 0.6992294788360596, 0.6987811326980591, 0.6986714005470276, 0.6986555457115173, 0.6950109004974365, 0.6937108039855957, 0.6913917660713196, 0.6908566951751709, 0.6898059844970703, 0.6896814703941345, 0.6881128549575806]",0.740822,0.688113,0.701262,0.052709
q_1772135720_0003,2026-02-27 01:25:20,Suggest a restaurant with good vegetarian options,recommendation,20,8,"[0.7255474925041199, 0.713735818862915, 0.7094762325286865, 0.7064964771270752, 0.6966039538383484, 0.6946753263473511, 0.688300371170044, 0.6843271255493164, 0.6833531856536865, 0.6825830936431885, 0.6816721558570862, 0.6816247701644897, 0.6798133850097656, 0.6795456409454346, 0.6786147952079773, 0.677260160446167, 0.6719028353691101, 0.6713498830795288, 0.6698167324066162, 0.6695497035980225]",0.725547,0.66955,0.687312,0.055998
q_1772135727_0004,2026-02-27 01:25:27,Which place has the best burgers?,recommendation,20,8,"[0.7003805041313171, 0.6858663558959961, 0.670160174369812, 0.6689216494560242, 0.6615711450576782, 0.6608844995498657, 0.6599373817443848, 0.6596879959106445, 0.6573246717453003, 0.6572139859199524, 0.6534003019332886, 0.6532074213027954, 0.6525819897651672, 0.651592493057251, 0.6505132913589478, 0.6491923928260803, 0.648169755935669, 0.6479336023330688, 0.6450024843215942, 0.6439303159713745]",0.700381,0.64393,0.658874,0.05645
q_1772135733_0005,2026-02-27 01:25:33,Recommend a good brunch spot,recommendation,20,8,"[0.7494091987609863, 0.74538254737854, 0.7288683652877808, 0.7258790731430054, 0.7213835716247559, 0.7200011014938354, 0.7149353623390198, 0.7135121822357178, 0.7124047875404358, 0.7104822397232056, 0.7098744511604309, 0.7064883708953857, 0.7056081295013428, 0.7037220597267151, 0.7016257047653198, 0.7014510035514832, 0.7010812759399414, 0.7006422281265259, 0.6984294056892395, 0.697902500629425]",0.749409,0.697903,0.713454,0.051507
q_1772135742_0006,2026-02-27 01:25:42,What's the best place for seafood?,recommendation,20,8,"[0.7255284786224365, 0.7004451751708984, 0.6994385719299316, 0.6889647841453552, 0.6879990100860596, 0.6879174709320068, 0.6768845319747925, 0.6759893298149109, 0.6734561920166016, 0.6712391376495361, 0.6679993867874146, 0.6658915281295776, 0.6625223159790039, 0.6621030569076538, 0.6609148979187012, 0.6595925092697144, 0.6594222187995911, 0.6561923027038574, 0.6541564464569092, 0.6523524522781372]",0.725528,0.652352,0.67445,0.073176
q_1772135747_0007,2026-02-27 01:25:47,Where should I go for authentic Mexican food?,aspect,20,5,"[0.7534733414649963, 0.7208113670349121, 0.718468189239502, 0.7118188738822937, 0.7053186893463135, 0.704472541809082, 0.6919299364089966, 0.6884549856185913, 0.6882559657096863, 0.6861841082572937, 0.6858018636703491, 0.6798449158668518, 0.6758455038070679, 0.6675630807876587, 0.6671316623687744, 0.6600388288497925, 0.6594898104667664, 0.6594895720481873, 0.658791184425354, 0.6560498476028442]",0.753473,0.65605,0.686962,0.097423
q_1772135753_0008,2026-02-27 01:25:53,Recommend a restaurant for a family dinner,recommendation,20,8,"[0.6783357262611389, 0.6586135625839233, 0.6583490371704102, 0.6534954309463501, 0.6510313749313354, 0.6497331857681274, 0.6471743583679199, 0.6466679573059082, 0.6458413004875183, 0.6438455581665039, 0.6409871578216553, 0.6397534012794495, 0.639560341835022, 0.6389851570129395, 0.6379960775375366, 0.6376079320907593, 0.637558102607727, 0.6368395090103149, 0.6357473134994507, 0.6343047618865967]",0.678336,0.634305,0.645621,0.044031
q_1772135759_0009,2026-02-27 01:25:59,What's the best spot for a quick lunch?,recommendation,20,8,"[0.6437956094741821, 0.6365715265274048, 0.6357557773590088, 0.6333839893341064, 0.6331562995910645, 0.6224071383476257, 0.620480477809906, 0.6180098652839661, 0.6165640950202942, 0.6153932213783264, 0.6111059188842773, 0.6090280413627625, 0.6085914373397827, 0.6072510480880737, 0.6053579449653625, 0.6050484776496887, 0.6033265590667725, 0.6024162769317627, 0.6018028259277344, 0.6006761789321899]",0.643796,0.600676,0.616506,0.043119
q_1772135767_0010,2026-02-27 01:26:07,Suggest a place with amazing desserts,recommendation,20,8,"[0.7125570178031921, 0.7023051381111145, 0.6990687251091003, 0.6916861534118652, 0.691673994064331, 0.6880310773849487, 0.6870206594467163, 0.6846311688423157, 0.6835834980010986, 0.6792656183242798, 0.6766939163208008, 0.6766374111175537, 0.6757956147193909, 0.6755492687225342, 0.6748947501182556, 0.6748045682907104, 0.671945333480835, 0.6714673042297363, 0.6708786487579346, 0.6699774861335754]",0.712557,0.669977,0.682923,0.04258
q_1772135773_0011,2026-02-27 01:26:13,Where can I get the best sushi?,recommendation,20,8,"[0.7301114797592163, 0.7117301821708679, 0.7065998315811157, 0.7033007740974426, 0.7007597088813782, 0.6952953338623047, 0.690208911895752, 0.6874387860298157, 0.6843401789665222, 0.6816311478614807, 0.6804298162460327, 0.67901211977005, 0.6784428358078003, 0.6725680232048035, 0.6714455485343933, 0.6703977584838867, 0.670325756072998, 0.6701636910438538, 0.6700395345687866, 0.6695482730865479]",0.730111,0.669548,0.686189,0.060563
q_1772135778_0012,2026-02-27 01:26:18,Recommend a cozy cafe for coffee,recommendation,20,8,"[0.673876166343689, 0.6532412767410278, 0.6517240405082703, 0.6511794328689575, 0.6476826667785645, 0.6472889184951782, 0.6444652080535889, 0.6435779929161072, 0.639846682548523, 0.6366750001907349, 0.6356938481330872, 0.6292060613632202, 0.6289606690406799, 0.6284772157669067, 0.6272791624069214, 0.6268888711929321, 0.6268842220306396, 0.6261236667633057, 0.6239460706710815, 0.6216175556182861]",0.673876,0.621618,0.638232,0.052259
q_1772135789_0013,2026-02-27 01:26:29,What's the best barbecue restaurant?,recommendation,20,8,"[0.6651965379714966, 0.6546362042427063, 0.6501495838165283, 0.6435368061065674, 0.6381935477256775, 0.6322463750839233, 0.6297891736030579, 0.6284850835800171, 0.6258282661437988, 0.6256359815597534, 0.6251635551452637, 0.6241649985313416, 0.622109055519104, 0.6220569610595703, 0.6197800636291504, 0.6196370124816895, 0.6150218844413757, 0.6115804314613342, 0.6115514039993286, 0.6113075017929077]",0.665197,0.611308,0.628804,0.053889
